"","Specimen.Tag","Sex","State","County","Subspecies","Latitude","Longitude","SVL1","SVL2","SVL_Ave","Headwidth1","Headwidth2","Headwidth_Ave","Headlength1","Headlength2","Headlength_Ave","Right_Tibulafibula1","Right_Tibulafibula2","Tibulafibula_Ave","Right_Femur1","Right_Femur2","Femur_Ave","Right_Tarsus1","Right_Tarsus2","Tarsus_Ave","Right_Radioulna1","Right_Radioulna2","Radioulna_Ave","Right_Nostril_Lip1","Right_Nostril_Lip2","Nostril_Lip_Ave","Internarial1","Internarial2","Internarial_Ave","EAD1","EAD2","EAD_Ave","Interorbital1","Interorbital2","Interoribital_Ave","EPD1","EPD2","EPD_Ave","Right_Tympanum1","Right_Tympanum2","Tympanum_Ave","Spots","Notes","X","X.1","X.2","annual_temp","temp_seasonality","annual_rainfall","rainfall_seasonality","max_temp","min_temp","days_above_5","Site","county_site"
"119","INHS 51280","F","Illinois","Jackson","Northern",37.72786,-89.18514,93.9,93.5,93.7,32.6,32.9,32.75,23.7,22.6,23.15,40.5,40.5,40.5,38.5,38.5,38.5,23.8,23.5,23.65,18.2,18.2,18.2,6.8,6.5,6.65,6.7,6.7,6.7,13.5,13.6,13.55,4.3,4.5,4.4,20.6,20.5,20.55,7,7.1,7.05,33,"",NA,NA,NA,13.5496664047241,937.795349121094,1147,122,31.7840003967285,-5.09999990463257,279,"Site_72","Site_19"
"120","INHS 8758","F","Illinois","Jasper","Northern ",38.98988,-88.20148,105.1,105,105.05,37.1,37.5,37.3,26.3,26.5,26.4,45.3,45,45.15,37.5,37.4,37.45,26.1,26,26.05,17.9,17.6,17.75,7.4,7.2,7.3,7.9,7.6,7.75,14.8,14.5,14.65,5.6,5.1,5.35,23.7,23.1,23.4,7.5,7.7,7.6,32,"",NA,NA,NA,12.0853328704834,986.045043945312,1058,108,30.8559989929199,-7.2039999961853,261,"Site_82","Site_20"
"121","INHS 8757","F","Illinois ","Jasper","Northern",39.04541,-88.15238,89.1,89.1,89.1,32.5,32.4,32.45,25.2,25.6,25.4,42.8,43,42.9,40.5,41,40.75,24.9,24.7,24.8,16.8,17,16.9,6.8,6.9,6.85,6.9,6.9,6.9,13,12.7,12.85,3.8,3.7,3.75,19.9,20.1,20,7.2,7.5,7.35,31,"",NA,NA,NA,11.9608335494995,982.3466796875,1050,107,30.6760005950928,-7.28800010681152,261,"Site_83","Site_20"
"122","INHS 20874","M","Illinois","Jasper","Northern",38.9139,-88.1969,97.1,96.9,97,35.8,35.4,35.6,25.6,25.8,25.7,47.5,47.2,47.35,39.5,39.2,39.35,26,26.3,26.15,21.7,21.5,21.6,7.2,6.9,7.05,7,7.1,7.05,13.4,13.3,13.35,3.6,3.5,3.55,21,21,21,7.5,7.6,7.55,NA,"the dorsum is messed up ",NA,NA,NA,12.1584997177124,981.338134765625,1068,110,30.9119987487793,-7.10400009155273,262,"Site_80","Site_20"
"123","INHS 8095","M","Illinois","Marion","Northern",38.72912,-88.9488,73.6,73.6,73.6,25,25.3,25.15,20.3,20,20.15,36.9,36.9,36.9,34,34.2,34.1,20,19.8,19.9,14.3,14.5,14.4,5.1,5.2,5.15,5.1,4.9,5,10.2,10,10.1,2.8,3,2.9,14.8,15,14.9,6.8,6.5,6.65,26,"",NA,NA,NA,12.2751665115356,978.126770019531,1032,108,31.1160011291504,-7.0959997177124,265,"Site_76","Site_26"
"124","INHS 8096","M","Illinois","Marion","Northern",38.72912,-88.9488,85.2,85.2,85.2,30.5,30.3,30.4,21.6,21.4,21.5,42.3,42.4,42.35,40.9,40.6,40.75,23.9,23.5,23.7,17.7,17.5,17.6,6.5,6.3,6.4,5.9,6,5.95,12.2,12.2,12.2,3.6,3.8,3.7,19.7,19.3,19.5,6.9,6.9,6.9,33,"",NA,NA,NA,12.2751665115356,978.126770019531,1032,108,31.1160011291504,-7.0959997177124,265,"Site_76","Site_26"
"125","INHS 20483","M","Illinois","Marion","Northern",38.7482,-88.8556,98.5,98.6,98.55,34.7,35.1,34.9,29.5,29.2,29.35,48.6,48.5,48.55,45,44.8,44.9,29,28.5,28.75,21.5,21,21.25,7.5,7,7.25,7.9,8,7.95,14.4,14.4,14.4,5.6,5.4,5.5,21.5,21.2,21.35,8.7,8.5,8.6,28,"",NA,NA,NA,12.2440004348755,979.539367675781,1037,108,31.1520004272461,-7.03599977493286,264,"Site_78","Site_26"
"126","INHS 8094","M","Illinois ","Marion","Northern",38.73632,-88.949,86,86.1,86.05,29.6,29.8,29.7,24,23.5,23.75,43,43.1,43.05,40.5,40.4,40.45,24,23.6,23.8,17,17.1,17.05,6.2,6.4,6.3,5.9,5.9,5.9,11.9,12.1,12,3.5,3.7,3.6,18.5,18.3,18.4,6.8,6.5,6.65,27,"",NA,NA,NA,12.2751665115356,978.126770019531,1032,108,31.1160011291504,-7.0959997177124,265,"Site_77","Site_26"
"127","INHS 20482","F","Illinois ","Marion","Northern",38.7889,-89.0679,98.7,98.9,98.8,35.1,35.2,35.15,25.6,25.9,25.75,46.4,46.1,46.25,39,39.2,39.1,25.4,25.2,25.3,19.3,18.9,19.1,7.5,7.5,7.5,7.9,7.6,7.75,15,14.5,14.75,5,5.2,5.1,22.4,22.7,22.55,7.6,7.3,7.45,26,"",NA,NA,NA,12.3948335647583,983.70654296875,1016,107,31.3239994049072,-7.10400009155273,265,"Site_79","Site_26"
"128","INHS 3843","F","Illinois ","Cumberland ","Northern",39.31868,-88.45441,92.7,92.5,92.6,35.6,35.7,35.65,24.1,24.9,24.5,47.4,47.1,47.25,39.5,39.6,39.55,25.8,25.3,25.55,18,18,18,7.2,7.3,7.25,7.1,7.3,7.2,13.5,13.7,13.6,5,4.7,4.85,22.5,22.1,22.3,7,7.2,7.1,28,"",NA,NA,NA,11.5874996185303,1000.75390625,1020,107,30.492000579834,-8,259,"Site_87","Site_11"
